metric,n_neighbors,pp@cat_encoder,pp@decomposition,pp@featuregen,pp@featureselector,pp@scaler,weights,p,pp@kernel_pca_kernel,pp@kernel_pca_n_components,pp@poly_degree,pp@selectp_percentile,pp@std_with_std,anchor_size,score
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,16,0.4419354838709677
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,23,0.24516129032258066
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,32,0.2354838709677419
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,45,0.19677419354838707
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,64,0.1967741935483871
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,91,0.16774193548387092
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,128,0.14516129032258063
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,181,0.12580645161290321
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,256,0.10322580645161292
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,362,0.058064516129032254
cosine,1,onehot,agglomerator,none,none,minmax,uniform,1,linear,0.25,2,25,True,500,0.03548387096774193
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,16,0.4419354838709677
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,23,0.24516129032258066
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,32,0.2354838709677419
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,45,0.19677419354838707
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,64,0.1967741935483871
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,91,0.16774193548387092
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,128,0.14516129032258063
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,181,0.12580645161290321
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,256,0.10322580645161292
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,362,0.058064516129032254
cosine,1,onehot,agglomerator,none,selectp,none,distance,1,linear,0.25,2,90,True,500,0.03548387096774193
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,16,0.4419354838709677
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,23,0.24516129032258066
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,32,0.2354838709677419
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,45,0.19677419354838707
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,64,0.1967741935483871
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,91,0.16774193548387092
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,128,0.14516129032258063
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,181,0.12580645161290321
cosine,1,onehot,agglomerator,poly,selectp,std,distance,1,linear,0.25,2,98,False,256,0.10322580645161292
